institution,overall_score_2018,overall_score_2019,overall_score_2021,overall_score_2023,overall_score_2025,overall_score_2026
UNIVERSITY OF NOTRE DAME,45.9,42.3,42.9,38.88399453949434,32.98370124204683,29.250735825311097
UNIVERSITY OF CALGARY,45.8,40.4,39.7,38.97997527383945,38.613191522040644,37.1098454065743
VRIJE UNIVERSITEIT AMSTERDAM,45.6,40.0,41.3,42.18278918540273,40.40723982458125,38.85015137888697
VICTORIA UNIVERSITY OF WELLINGTON,45.5,41.0,42.0,36.81214440246914,34.363939229939476,30.96900034052928
TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY,44.0,38.4,37.2,27.822776462026983,30.486503405549563,27.22824140275345
GEORGETOWN UNIVERSITY,43.8,40.8,40.1,36.21001117523381,34.69026420204565,32.04939420181041
UNIVERSITY OF SUSSEX,43.7,40.7,38.4,39.176668351653014,33.87509971651736,31.980436581284998
UNIVERSITI PUTRA MALAYSIA (UPM),43.6,43.8,48.4,54.64562800288943,54.07391945790529,53.84143274673697
UNIVERSITI KEBANGSAAN MALAYSIA (UKM),43.4,45.5,48.3,54.11511155073034,56.63292693396122,57.08240367593716
UNIVERSITY OF WOLLONGONG,43.3,41.4,42.7,45.298689851377716,44.11939946729219,43.147419115418984
LOUGHBOROUGH UNIVERSITY,43.1,41.4,41.2,38.057825181404716,36.55724607043991,34.065421733110306
AMERICAN UNIVERSITY OF BEIRUT (AUB),43.0,39.0,38.7,38.331998640736934,34.99571866100893,32.96890510108288
AL-FARABI KAZAKH NATIONAL UNIVERSITY,42.9,41.3,43.1,50.674813825422426,55.12435132926805,56.642497710323866
UNIVERSITY OF LEICESTER,42.8,40.9,39.0,36.52880034368339,33.00212940041924,30.495391495338666
MACQUARIE UNIVERSITY,42.5,38.0,39.5,44.130711365413525,44.7420803919338,44.73699046487058
TUFTS UNIVERSITY,42.0,39.0,37.5,34.08058228553298,30.5490333661761,27.755809247072836
CHULALONGKORN UNIVERSITY,41.8,36.3,38.3,41.339366529323094,39.92808140690787,39.03259790205769
SIMON FRASER UNIVERSITY,41.8,36.7,33.4,32.872541868546996,28.437768921884594,26.52519558226202
QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT),41.6,38.7,40.7,41.44254222246623,38.88923513548028,37.07504815713435
RMIT UNIVERSITY,41.6,38.0,39.2,44.54768745853564,47.265984895731584,47.92365311523572
NOVOSIBIRSK STATE UNIVERSITY,41.3,38.7,39.8,37.838012785884885,35.099335711841704,32.58454969096988
UNIVERSITY OF TSUKUBA,41.3,37.1,36.3,34.03658837484862,32.98368739184401,30.96694367200204
UNIVERSITY OF MIAMI,41.2,38.8,36.1,35.337182121856266,32.698420224008125,30.97975475056868
UNIVERSIDAD NACIONAL DE COLOMBIA,40.9,35.9,37.5,38.84838543870452,39.635745694553655,38.75647747796101
KYUNG HEE UNIVERSITY,40.6,36.7,38.3,37.16757146246825,35.9333812278132,33.930619727632354
NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,40.5,30.1,30.5,30.883004872886588,30.66213589666362,29.53373119268674
ROYAL HOLLOWAY UNIVERSITY OF LONDON,40.5,39.1,34.8,28.281729720476825,23.69687217199344,20.133403110606597
CURTIN UNIVERSITY,40.4,38.0,39.9,44.32656553845302,42.445001968358994,41.833196815403674
NORTH CAROLINA STATE UNIVERSITY,40.3,35.7,35.0,33.99715125322727,31.564320824748396,29.636840730727876
INDIAN INSTITUTE OF TECHNOLOGY MADRAS (IITM),40.2,36.7,36.1,38.54900625884281,41.814895852365375,41.988481118638646
UNIVERSITI SAINS MALAYSIA (USM),40.2,43.0,47.9,51.466037261422926,51.696643280092275,50.84404729168865
ECOLE DES PONTS PARISTECH,39.8,37.0,37.8,46.427449652539686,48.890648344206646,50.48833153411688
UNIVERSITY OF SURREY,39.6,38.3,35.9,34.67377772548764,34.59280964951893,33.231810358289614
UNIVERSITY OF EAST ANGLIA (UEA),39.5,36.4,33.4,31.482556352603915,27.419427959813298,25.157799301198363
UNIVERSITY OF TURKU,39.3,35.3,34.9,35.77849445796984,30.630628403502143,28.660656037682674
UNIVERSITY OF STRATHCLYDE,39.2,36.6,34.7,33.034995797530804,31.012708843002855,29.104513857225086
DALHOUSIE UNIVERSITY,39.1,35.7,35.4,34.257010991715376,31.53811951900154,29.467157701355834
WUHAN UNIVERSITY,38.8,37.5,37.2,44.18727567409935,43.2581685607532,43.82554486275184
UNIVERSITY OF GOTHENBURG,38.6,36.4,37.3,45.283080621168516,43.44195094336903,43.98660026847578
NATIONAL TAIWAN NORMAL UNIVERSITY,38.3,34.1,32.3,32.1104816662685,31.67931096878063,30.53754813646232
UNIVERSITY OF OTTAWA,38.3,35.0,35.2,39.37481079306477,38.37041199353597,38.10629094724304
BAUMAN MOSCOW STATE TECHNICAL UNIVERSITY,38.2,34.5,35.1,40.23883508653759,46.865373383937246,48.37529383209372
UNIVERSITY OF WAIKATO,38.1,36.0,36.6,32.19468320286071,36.14271382181454,34.38309448053783
DEAKIN UNIVERSITY,37.9,34.0,36.1,37.448093319104025,38.68693013041863,37.8704725969742
INDIAN INSTITUTE OF TECHNOLOGY KANPUR (IITK),37.9,35.6,34.8,37.5499113556764,38.22273089688644,37.99871032441157
EWHA WOMANS UNIVERSITY,37.7,33.1,32.3,31.162391789248698,29.26622513973868,27.46052400967161
UNIVERSITY OF PORTO,37.6,32.2,30.9,37.05652670927179,33.82079220244352,33.88457676442689
INDIANA UNIVERSITY BLOOMINGTON,37.4,32.7,33.5,31.690180796165013,28.650052117032914,26.245014830920564
POLITECNICO DI TORINO,37.0,28.7,31.2,33.03476963245634,34.640401798309775,34.07188419313103
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,36.7,30.3,30.6,32.05664322124147,31.951234599050288,31.158950188886703
HERIOT-WATT UNIVERSITY,36.6,34.4,33.4,36.20352982411415,36.41404822643361,36.15359168017802
UNIVERSITY OF TASMANIA,36.5,35.2,34.8,35.50914952556993,32.10370304296435,30.438676936243738
CHARLES UNIVERSITY,36.3,33.2,34.8,35.90376018746469,35.0821250011997,33.85077888577301
UNIVERSITY OF TARTU,36.3,32.8,34.4,35.35559934346207,34.407751673653124,33.11513246230166
MASSEY UNIVERSITY,36.2,32.0,34.9,35.64651847125255,38.329899961324294,37.573058487624195
TONGJI UNIVERSITY,36.2,34.9,36.7,42.33783695190475,43.8029584932952,44.26904986420405
UNIVERSITY AT BUFFALO SUNY,36.1,33.4,31.8,27.183842764180625,19.66417689147081,15.825486185477263
SUN YAT-SEN UNIVERSITY,35.9,34.7,34.9,37.248015284662905,35.18604488965749,34.19531022389831
HIROSHIMA UNIVERSITY,35.8,32.8,32.2,31.718856639252834,29.230807181772153,27.473482372326018
TOMSK STATE UNIVERSITY,35.7,35.8,36.5,37.49116331577189,36.568319639909745,35.34801709021147
GRIFFITH UNIVERSITY,35.6,32.1,33.2,35.09519018804163,33.37455537368021,32.2608884175231
HARBIN INSTITUTE OF TECHNOLOGY,35.6,35.3,35.7,41.9310523953674,40.43205366820533,40.62353133752427
BANDUNG INSTITUTE OF TECHNOLOGY (ITB),35.3,30.4,32.3,39.427827319011115,41.28036330764539,42.30518832673053
UNIVERSIDAD AUSTRAL,35.3,29.9,28.2,26.909541637914604,28.906328417850535,27.995572126281125
MAHIDOL UNIVERSITY,35.1,29.1,33.4,38.001598365556006,37.55882509649707,37.148247959407215
UNIVERSIDAD DE BELGRANO,34.9,28.8,26.3,25.48346350214605,24.103752410034883,22.755524153119698
BOSTON COLLEGE,34.7,29.2,26.7,21.812082814620126,19.32887498192204,16.597514508815266
GWANGJU INSTITUTE OF SCIENCE AND TECHNOLOGY (GIST),34.7,33.3,33.1,35.96148555262847,35.62550682266104,35.196181799841675
NANKAI UNIVERSITY,34.0,31.7,29.8,29.65130250716543,30.890518053524207,30.145873370013952
NORTHEASTERN UNIVERSITY,33.9,32.3,31.7,29.114497410238663,24.33878905975684,21.531160368666693
QATAR UNIVERSITY,33.8,32.0,35.8,42.559698704765765,50.2306442111181,52.08104075202845
KOBE UNIVERSITY,33.6,30.9,28.4,30.1805401720419,26.458388227590152,25.341598264304054
GEORGE WASHINGTON UNIVERSITY,33.5,31.5,32.0,30.225021162790558,26.959243519534255,24.571687765462237
TILBURG UNIVERSITY,33.3,33.1,29.6,28.589811402940093,30.300307796322347,29.568993974573146
LA TROBE UNIVERSITY,33.2,28.2,28.2,33.87542721204774,38.063873644073134,39.400803199941386
OXFORD BROOKES UNIVERSITY,33.1,30.1,29.1,26.428416590560204,27.01522468731511,25.344812666409553
STELLENBOSCH UNIVERSITY,33.1,27.9,27.1,25.946654389893357,28.580117616423784,27.7639769304397
UNIVERSIDADE NOVA DE LISBOA,33.1,27.9,27.3,29.84755916159696,25.819806588653492,24.686536793102476
RENSSELAER POLYTECHNIC INSTITUTE,33.0,31.5,28.8,25.44680564859504,21.04804680338409,18.352935439050967
UNIVERSITY OF THE PHILIPPINES,32.9,28.8,30.7,27.70354760432096,27.880391089855603,25.721416144191974
ASTON UNIVERSITY,32.5,29.0,26.0,21.842454877273948,23.00597770874895,21.277845657189246
UNIVERSITY OF KENT,32.5,30.7,29.8,29.73165384612733,26.55190998138033,24.839167657927717
AALBORG UNIVERSITY,32.2,31.6,33.0,32.3971604361182,30.49078321152872,28.604570184745782
UNIVERSITY OF KANSAS,31.3,29.9,29.4,29.86365544976915,29.67272040996229,28.6799360249983
NATIONAL SUN YAT-SEN UNIVERSITY,31.2,28.1,27.9,27.059669077614863,25.67026586067936,24.059362261601713
UNITED ARAB EMIRATES UNIVERSITY,31.1,31.1,32.4,35.387965235950574,35.9801011160873,35.635169639593016
NATIONAL CENTRAL UNIVERSITY,31.0,27.4,27.1,21.486593405364896,20.027101686623165,17.07106682994074
UNIVERSITY OF UTAH,31.0,31.5,30.9,28.959382844006583,24.379483946252606,21.80657663151298
ILLINOIS INSTITUTE OF TECHNOLOGY,30.7,26.9,27.3,26.279208581564596,22.115942470507758,19.843926177049326
UNIVERSITY OF COIMBRA,29.8,27.7,28.1,26.42639185594627,26.496456129143027,24.88074601724889
WASHINGTON STATE UNIVERSITY,30.4,28.6,28.2,26.217369709805773,23.80415507026879,21.67817188105407
AMERICAN UNIVERSITY OF SHARJAH,29.5,29.2,29.6,29.85879842390289,30.922419299883998,30.03178465828246
BRANDEIS UNIVERSITY,29.4,26.8,25.1,24.293016695933304,21.90531659764469,20.295350598168973
UNIVERSITY OF OULU,29.3,29.2,29.3,28.930644389880953,28.117448822744457,26.704730015032915
WAKE FOREST UNIVERSITY,29.2,28.7,28.3,26.440970340983196,25.176844192422337,23.31610875845521
HITOTSUBASHI UNIVERSITY,28.9,25.5,25.8,22.844837994876173,21.705422591674,19.52797712314904
SHANGHAI UNIVERSITY,29.0,27.0,27.8,27.244454361733258,28.092417057504473,26.91538693715674
SWINBURNE UNIVERSITY OF TECHNOLOGY,29.0,28.7,28.8,35.294876716468664,35.20414470807734,35.891134719245464
THE UNIVERSITY OF GEORGIA,29.1,26.7,25.0,20.51351963968131,17.55842671361085,14.792302669726745
UNIVERSITY OF CONNECTICUT,29.1,29.4,29.0,30.900859921886585,18.57081402415209,15.533518769406445
UNIVERSITY OF DELAWARE,28.8,26.2,24.3,21.309646781471166,18.841549160429068,16.628615463195864
UNIVERSITY OF IOWA,28.8,26.4,27.3,25.29814775400252,21.420340776376158,18.877900951025495
BOND UNIVERSITY,28.4,26.0,26.0,24.770088014731954,25.431895717537017,24.13369765723091
CONCORDIA UNIVERSITY,28.5,25.2,25.2,22.21303240482887,20.6724057758656,18.444208469787363
FLORIDA STATE UNIVERSITY,28.7,25.0,25.8,23.68964154355832,19.22391363627238,16.565316279855445
NATIONAL UNIVERSITY OF SCIENCES AND TECHNOLOGY (NUST) ISLAMABAD,28.3,27.3,28.2,31.91309283577027,32.50532301505884,32.47087619844528
SWANSEA UNIVERSITY,28.3,26.4,25.2,27.20050324433032,30.782634999537198,31.121324406584005
XIAMEN UNIVERSITY,28.3,24.7,25.7,27.24385992893932,29.807540157898732,29.584367472987566
OREGON STATE UNIVERSITY,28.1,25.7,25.3,20.873091341240304,17.20612410126135,14.17912163894141
SINGAPORE MANAGEMENT UNIVERSITY,27.9,23.5,24.9,21.817028173335103,20.15155953239025,17.736086319038282
SOGANG UNIVERSITY,27.8,26.4,25.6,25.6558970762243,25.330162679688183,24.283286050088048
BEIJING INSTITUTE OF TECHNOLOGY,27.5,25.2,26.4,30.68524348459321,37.53290073387228,38.92024583306156
SULTAN QABOOS UNIVERSITY,27.3,25.7,28.9,29.292295233745637,29.909327840957708,28.69826982023983
TULANE UNIVERSITY,27.6,27.5,27.4,25.151816035335905,24.514855310478964,22.654300051917
UNIVERSITY OF EASTERN FINLAND,27.5,24.4,24.2,22.10782347876043,20.898731495649812,19.026513069416545
UNIVERSITY OF SASKATCHEWAN,27.2,25.3,26.2,25.041757329352187,26.435840918049152,25.21286369206752
UNIVERSITY OF STIRLING,27.6,27.3,24.8,23.937766953550742,21.319237798000692,19.731421130753464
JAGIELLONIAN UNIVERSITY,27.1,27.6,31.9,35.51420704188476,35.05207841479214,34.38085099248566
UNIVERSIDAD DE ZARAGOZA,26.7,27.5,26.7,22.177421773486877,22.39817685568629,20.146326259797696
WAYNE STATE UNIVERSITY,27.0,26.2,24.5,20.53199669472935,18.916685390710946,16.5755164904662
HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,26.5,27.4,28.2,34.50911014962571,33.04354582647822,33.34011181297366
TIANJIN UNIVERSITY,26.5,26.0,27.0,34.29582995778384,38.52503490594505,40.2485436731682
ABERYSTWYTH UNIVERSITY,26.2,26.5,24.5,19.282653548104687,16.719394337924065,13.862704008914973
CHANG GUNG UNIVERSITY,26.3,26.8,24.5,24.945879949895343,26.214979258092182,25.766835891161428
COLORADO STATE UNIVERSITY,26.1,25.7,26.0,27.836813134806086,26.156473867708602,25.225540116705858
UNIVERSITY OF DELHI,26.1,24.2,25.0,23.45861489075904,25.03402443223296,23.767520159818147
JILIN UNIVERSITY,25.6,24.8,24.5,24.29690458636852,23.173324886678415,21.859299489127157
